实体A,实体B,扩展关系类型,扩展关系类型定义,MatKG关系标签,共现文献数,材料匹配依据,关系筛选依据,来源数据集,文献DOI,证据等级,强证据资格
Single Crystal,Cuprate,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,DSC-CHM,34,B:family:cuprate,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Single Crystal,FeSe,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,DSC-CHM,70,B:core:FeSe,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Single Crystal,Iron Pnictide,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,DSC-CHM,47,B:family:Fe-based,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Single Crystal,MgB2,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,DSC-CHM,120,B:core:MgB2,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Single Crystal,YBa2Cu3O7,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,DSC-CHM,86,B:core:YBa2Cu3O7,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Single Crystal,YBa2Cu3O7-X,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,DSC-CHM,43,B:family:cuprate-formula,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Single Crystal,YBa2Cu3O7-Δ,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,DSC-CHM,97,B:core:YBa2Cu3O7,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Sintered,MgB2,MKG-SYNTHESIS,MatKG 聚合共现中的合成/生长相关弱关系；不属于核心 R1-R9 强证据,SMT-CHM,124,B:core:MgB2,keyword:synthesis;tag:SMT,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Sintering,MgB2,MKG-SYNTHESIS,MatKG 聚合共现中的合成/生长相关弱关系；不属于核心 R1-R9 强证据,SMT-CHM,102,B:core:MgB2,keyword:synthesis;tag:SMT,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Structural,BaFe2As2,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,PRO-CHM,40,B:core:BaFe2As2,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Structural,MgB2,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,PRO-CHM,41,B:core:MgB2,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Structural Transition,FeSe,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,PRO-CHM,30,B:core:FeSe,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
Structure,Cuprate,MKG-STRUCTURE,MatKG 聚合共现中的结构/相标签相关弱关系；不等同于已核验的 R9,PRO-CHM,38,B:family:cuprate,keyword:structure,MatKG SUBRELOBJ.csv (Venugopal & Olivetti 2024),,matkg_aggregate_weak,false
